dong,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct
망포동,246,1223.582579375522,1243.891213642566,31950.0,84.925,90,3265.9868902353674,3071.471001591685,70750.0,84.4619,166.92002201455205,146.92440688581604
원천동,134,1407.416003685068,1633.9169030674166,24075.0,59.9306,27,2881.2197193065217,2896.232697459418,45000.0,49.95,104.71699282675209,77.25703749206623
매탄동,567,1336.4637418419145,1466.0598644820475,30000.0,59.99,105,2536.4890850250076,2495.20805672748,56000.0,75.95,89.79108864780858,70.19823795592592
영통동,521,1433.2466223028837,1428.602497114438,27200.0,59.99,166,2691.4592727315276,2684.6132627432366,49000.0,59.98725,87.78758874079868,87.91884153679919
이의동,190,2430.6018089589243,2406.638280178044,69200.0,84.645,44,4471.210278058668,4470.376468073731,142750.0,100.513,83.9548650699712,85.75190567246402
하동,30,2169.713839150154,2142.204641226374,59500.0,84.85,14,3800.7578755905192,3910.469595648753,86500.0,84.83215,75.1732328480341,82.54416596773308
신동,12,1768.8793265834706,1759.787804317316,46850.0,84.94,4,3055.160113020956,3084.3495408523668,78500.0,84.94,72.71727172717273,75.26826434900174
