dong,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct
금곡동,193,2350.37326697476,2316.4301064915853,58400.0,84.6,33,5832.937925170068,5635.869049950775,95500.0,58.19,148.17070578231295,143.29976691965638
이매동,279,2289.529328621908,2317.7183717569515,67500.0,101.76,37,5548.506210137631,5492.774174059974,143000.0,84.9,142.34265710312326,136.99057836333085
수내동,319,2284.858395144977,2236.928597461134,70800.0,101.91,52,5294.1856134291775,5382.51937820486,157000.0,93.3,131.70738390959477,140.62097396912466
분당동,153,2102.269976359338,2057.418384004832,53000.0,84.82,30,4849.086370557911,4591.089557595288,115750.0,75.41999999999999,130.65954540032223,123.14807689520993
정자동,537,2441.4712909999275,2385.433594811993,50000.0,66.6,72,5543.160081053698,5657.566759140021,114000.0,67.73500000000001,127.04178834654431,137.17142122272827
서현동,365,2223.4044917257684,2242.705239024107,61500.0,84.69,65,5038.102596124335,5414.161098993868,120000.0,84.157,126.59406396241675,141.41206810351022
삼평동,197,3181.775682577097,3143.7907588843705,74000.0,84.2822,5,7181.717914438503,7168.515620995374,225000.0,101.84,125.71414929608204,128.02139743992532
구미동,366,2027.2612468751763,2091.9915353955785,42900.0,68.16,47,4445.891685121804,4505.379819993817,81500.0,58.14,119.30531607481316,115.36319548931093
야탑동,500,2083.3691023675697,2076.1900739740945,47000.0,74.14,62,4451.926270282372,4373.568377358635,91500.0,74.61,113.68879212152763,110.65356357219565
백현동,124,3520.9704142011833,3581.2846646346698,89350.0,84.73,6,7522.859699009681,7880.2276068779065,193000.0,84.81,113.65870240396276,120.03912966471142
운중동,92,2724.988224211022,2799.2696148485293,70750.0,84.8536,6,5749.891334154736,5903.884642926206,132400.0,82.96950000000001,111.00609841422444,110.90803871157905
판교동,154,2912.160812823408,2930.4616618262694,76850.0,84.9562,14,5235.199182912894,5334.639458485647,160000.0,101.06,79.77026405479461,82.0409230387641
