dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
정자동,한솔마을(5단지)(주공),33,5349.190938511328,5521.140332923084,74800.0,42.75,46,8771.817739470629,9013.45727161749,115250.0,42.3,63.98400880249404,63.2535441613282,79
정자동,정든마을(6단지)(우성),21,5245.6900081900085,5282.5235600743745,80500.0,48.84,3,8494.633497133496,8494.633497133496,125500.0,48.84,61.93548387096772,60.806353261468416,24
수내동,푸른마을(벽산),14,5123.352666402972,5258.680582163454,169750.0,101.82,1,8267.264971562396,8267.264971562396,149500.0,59.78,61.36435474715653,57.21177284666319,15
구미동,무지개(11단지)(금강센테리움),6,3938.254500529475,3922.0535532989347,77500.0,67.38,1,6310.046212577859,6310.046212577859,95000.0,49.77,60.22443983062826,60.88628385174204,7
정자동,정든마을(5단지)(신화),12,4292.820329618841,4434.22080200102,158500.0,125.03999999999999,3,6854.583154583154,6179.5529495282235,145000.0,69.93,59.67551931510191,39.360515081693535,15
구미동,무지개(2단지)(엘지),7,4122.107020127639,4118.056069015877,126000.0,101.85,4,6581.749723126679,6346.283181041205,132000.0,67.326,59.66954984402317,54.10871233129724,11
정자동,한솔마을(4단지)(주공),42,5612.738662131519,5513.440092025347,63000.0,36.0,18,8847.063321385904,8372.48449704722,99500.0,36.0,57.62471502683688,51.85590769648882,60
야탑동,목련마을(한일),5,3382.479924643824,3614.458536768456,83500.0,84.93,2,5268.984651711924,5268.984651711924,81000.0,50.82,55.77282848963989,45.77521357936823,7
서현동,효자촌(미래타운),1,3363.7448009506834,3363.7448009506834,137000.0,134.64,1,5188.620757308221,5188.620757308221,160000.0,101.94,54.251320012201255,54.251320012201255,2
구미동,무지개(3단지)(신한),5,4575.929667040778,4661.681784376564,96000.0,69.72,1,7049.405162738496,7049.405162738496,114000.0,53.46,54.054054054054035,51.22021383708106,6
정자동,한솔마을(6단지)(주공),31,5879.707990443323,5790.641364557548,70000.0,39.87,14,9013.441421679125,8523.809650038109,108200.0,37.67,53.29743307540553,47.1997506564525,45
