dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
원천동,광교호반베르디움,29,4732.768235258783,4766.189029776096,87000.0,59.9306,18,5886.362168646645,5848.333629585924,108000.0,59.9512,24.37461282793589,22.704609344054184,47
망포동,영통아이파크캐슬2단지,14,3458.4234266147123,3520.2308765059793,82875.0,84.69,22,4298.972990996999,4193.9950637522525,83750.0,59.98,24.304414488802518,19.13977267067837,36
망포동,힐스테이트영통,76,4142.500262494283,4117.609532812477,92150.0,71.2981,25,5143.833101956506,5102.668133620295,107700.0,71.2981,24.172185299013126,23.92306975583931,101
망포동,영통아이파크캐슬1단지,26,3808.8036597460823,3971.5231657952745,89000.0,75.93,19,4664.577872239934,4704.47532096001,96000.0,59.98,22.46832047391234,18.455190227197548,45
이의동,광교센트럴뷰,33,5203.6823487796255,5204.598501218198,131300.0,84.81,5,6209.080310880829,6258.968293549316,154500.0,84.81,19.320894219013773,20.258427082979203,38
망포동,엘지동수원자이,12,1748.551759181987,1875.8738484589048,56900.0,109.84975,16,2082.548135053183,2129.8627379815844,61100.0,97.0418,19.10131479479036,13.539763866922083,28
영통동,벽적골9단지주공,28,2699.634618622664,2668.112738813904,48500.0,59.39,59,3211.730257619128,3165.268992695329,57500.0,59.39,18.969072164948454,18.633255133830406,87
망포동,늘푸른벽산,20,1868.4533411833972,1786.8297151861825,48000.0,84.925,22,2191.0969425591666,2177.4173653243274,46700.0,72.4045,17.267950676864153,21.859254232149738,42
하동,광교더리브,26,4533.188606661185,4529.434235531863,114000.0,84.81,9,5255.334432406971,5358.534676488151,133000.0,84.81,15.930195904151145,18.304724118793423,35
이의동,광교2차e편한세상,11,3737.2367297671262,3773.476698708012,96000.0,84.6861,13,4215.879583544407,4168.897131244938,108000.0,84.6861,12.807399915688666,10.478941944237064,24
매탄동,임광,13,1673.133239171375,1683.92882674577,42800.0,84.95,12,1873.740670982931,1840.5724746835722,45300.0,79.6,11.989925674473344,9.302272486214246,25
하동,광교더포레스트,33,3157.2904138662893,3014.3424053704157,80000.0,84.81,29,3508.100459851433,3445.4133594016207,89700.0,84.81,11.111111111111116,14.300663164980865,62
