dong,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct
하동,89,3334.4489614866443,3662.649915826172,84900.0,84.81,75,3748.0725623582766,3911.4730679325776,90000.0,84.81,12.40455636445612,6.793528123756798
매탄동,263,2197.622057541412,2270.6211423994528,51500.0,75.814,221,2392.5472197705208,2407.22725678686,52500.0,75.814,8.869821885897045,6.016244270633808
영통동,473,2358.530421736956,2397.8691468914826,45000.0,59.99,669,2508.3615442341365,2586.134993115144,47800.0,59.99,6.352732240224235,7.851381150957426
신동,21,2920.8549540347294,2931.2792425551,78500.0,84.94,33,3035.7004944666824,3024.850717436989,80800.0,84.94,3.93191521795051,3.192171988374781
원천동,117,2680.9150981177413,2976.6810096172394,45000.0,59.9306,87,2647.8173808570286,3135.314653632813,43000.0,59.9306,-1.2345679012345623,5.329212082283941
망포동,327,2869.052904242287,2937.407220953768,67500.0,84.69,324,2745.9645164412113,3007.8598806716095,66000.0,84.72,-4.290209762917662,2.3984641698731046
이의동,206,4890.974088083677,4744.305936168567,135000.0,84.81,110,4254.066197427297,4595.395623738129,115500.0,84.77,-13.022107236432435,-3.138716483167947
