apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
판교원마을6단지(판교대광로제비앙),판교동,635,59.667,59000,18,2009,2017,4,19,2017-04-19,2017-04,3268.8454254445505
청솔마을(주공9단지),금곡동,133,42.84,34400,2,1995,2017,4,26,2017-04-26,2017-04,2654.517273576097
무지개(4단지)(주공),구미동,220,59.98,34500,2,1995,2017,4,26,2017-04-26,2017-04,1901.4688229409803
무지개(4단지)(주공),구미동,220,59.98,36900,24,1995,2017,4,26,2017-04-26,2017-04,2033.7449149716572
파크타운(삼익),수내동,54,131.49,81000,10,1993,2017,4,21,2017-04-21,2017-04,2036.4271047227924
시범한양,서현동,91,134.87,75000,2,1991,2017,4,25,2017-04-25,2017-04,1838.3257952102024
봇들마을7단지,삼평동,738,108.34,98000,1,2009,2017,4,15,2017-04-15,2017-04,2990.2935203987445
장미마을(현대),야탑동,334,84.97,52800,12,1993,2017,4,25,2017-04-25,2017-04,2054.2101918324115
상록마을(우성)1,정자동,121,101.98,74400,10,1994,2017,4,25,2017-04-25,2017-04,2411.762306334575
탑마을(선경)1,야탑동,536,83.73,54500,8,1992,2017,4,29,2017-04-29,2017-04,2151.7508658784186
탑마을(선경)1,야탑동,536,131.4,60700,1,1992,2017,4,17,2017-04-17,2017-04,1527.108523592085
샛별마을(삼부),분당동,39,84.6,56000,4,1992,2017,4,12,2017-04-12,2017-04,2188.2364066193854
이매촌(삼성),이매동,100,101.91,65600,6,1994,2017,4,21,2017-04-21,2017-04,2127.9607496810913
무지개(1단지)(대림),구미동,211,60.72,34850,15,1995,2017,4,20,2017-04-20,2017-04,1897.350625823452
탑마을(선경)1,야탑동,536,83.73,54500,11,1992,2017,4,3,2017-04-03,2017-04,2151.7508658784186
한솔마을(2단지)(LG),정자동,111,134.94,68000,13,1995,2017,4,28,2017-04-28,2017-04,1665.8840966355417
탑마을(벽산),야탑동,517,84.91,55700,15,1994,2017,4,29,2017-04-29,2017-04,2168.5674243316457
무지개(3단지)(건영),구미동,201,68.16,39500,13,1996,2017,4,19,2017-04-19,2017-04,1915.773180751174
봇들마을7단지,삼평동,738,108.15,107000,8,2009,2017,4,29,2017-04-29,2017-04,3270.6481738326397
정든마을(4단지)(우성),정자동,197,101.98,59400,5,1995,2017,4,29,2017-04-29,2017-04,1925.5199058638948
백현마을2단지,백현동,545,84.82,81400,11,2009,2017,4,22,2017-04-22,2017-04,3172.507899080406
무지개(5단지)(청구),구미동,221,85.0,50500,8,1995,2017,4,22,2017-04-22,2017-04,1964.034117647059
산운마을9단지(대방노블랜드),운중동,958,59.93,61800,9,2008,2017,4,29,2017-04-29,2017-04,3408.951109627899
봇들마을8단지(주공),삼평동,742,101.84,103300,2,2009,2017,4,25,2017-04-25,2017-04,3353.192655145326
장미마을(동부),야탑동,330,59.76,43500,4,1993,2017,4,26,2017-04-26,2017-04,2406.3303212851406
봇들마을8단지(주공),삼평동,742,101.82,98000,22,2009,2017,4,15,2017-04-15,2017-04,3181.775682577097
청솔마을(주공9단지),금곡동,133,42.84,35500,17,1995,2017,4,20,2017-04-20,2017-04,2739.4000933706816
한솔마을(2단지)(LG),정자동,111,134.94,70000,6,1995,2017,4,28,2017-04-28,2017-04,1714.8806877130578
느티마을(4단지)(공무원),정자동,90,58.71,46300,16,1994,2017,4,16,2017-04-16,2017-04,2607.02674161131
파크타운(서안),수내동,52,59.32,42800,16,1993,2017,4,21,2017-04-21,2017-04,2385.1692515171953
무지개(12단지)(주공뜨란체),구미동,212,49.36,26500,2,1995,2017,4,26,2017-04-26,2017-04,1774.7913290113452
이매촌(삼환),이매동,99,132.37,72500,22,1994,2017,4,29,2017-04-29,2017-04,1810.6104102137947
샛별마을(라이프),분당동,34,126.415,68500,13,1992,2017,4,17,2017-04-17,2017-04,1791.30087410513
봇들마을4단지(주공),삼평동,718,84.69,73000,11,2009,2017,4,19,2017-04-19,2017-04,2849.4910851340182
푸른마을(벽산),수내동,71,101.82,66000,12,1992,2017,4,29,2017-04-29,2017-04,2142.8285209192695
까치마을(4단지)(선경),구미동,63,70.66,52000,11,1995,2017,4,29,2017-04-29,2017-04,2432.7993206906312
정든마을(6단지)(우성),정자동,198,84.97,51800,1,1994,2017,4,29,2017-04-29,2017-04,2015.304695774979
양지마을(2단지)(청구),수내동,36,134.8,84000,12,1992,2017,4,20,2017-04-20,2017-04,2059.994065281899
푸른마을(벽산),수내동,71,131.4,71000,4,1992,2017,4,19,2017-04-19,2017-04,1786.2389649923896
장미마을(현대),야탑동,334,41.76,28750,13,1993,2017,4,29,2017-04-29,2017-04,2275.903975095786
산운마을6단지(신동아파밀리에),운중동,988,101.06,84300,5,2009,2017,4,29,2017-04-29,2017-04,2757.5592717197705
탑마을(벽산),야탑동,517,134.79,67000,6,1994,2017,4,29,2017-04-29,2017-04,1643.2124044810448
정든마을(2단지)(동아),정자동,198,48.84,32000,11,1995,2017,4,15,2017-04-15,2017-04,2165.962325962326
매화마을(주공3),야탑동,205,46.2,32000,5,1993,2017,4,24,2017-04-24,2017-04,2289.7316017316016
판교원마을5단지(푸르지오),판교동,634,116.04,94500,23,2009,2017,4,18,2017-04-18,2017-04,2692.158738366081
상록마을(라이프2차),정자동,125,84.78,64300,17,1994,2017,4,18,2017-04-18,2017-04,2507.2297711724464
판교원마을9단지(한림풀에버),판교동,585,84.9505,75500,14,2009,2017,4,20,2017-04-20,2017-04,2938.039211069976
현대I-PARK,야탑동,391,177.7238,97000,7,2003,2017,4,18,2017-04-18,2017-04,1804.274947981081
샛별마을(라이프),분당동,34,58.17,37500,4,1992,2017,4,25,2017-04-25,2017-04,2131.1242908715835
분당하우스토리,금곡동,202,132.14,67600,4,2004,2017,4,29,2017-04-29,2017-04,1691.1766308460724
까치마을(4단지)(롯데),구미동,63,70.66,55000,7,1995,2017,4,22,2017-04-22,2017-04,2573.1531276535525
시범우성,서현동,96,59.76,44800,2,1991,2017,4,21,2017-04-21,2017-04,2478.2436412315933
한솔마을(5단지)(주공),정자동,112,74.16,47600,6,1994,2017,4,28,2017-04-28,2017-04,2121.8457389428268
시범한신,서현동,87,84.69,65000,5,1991,2017,4,17,2017-04-17,2017-04,2537.218089502893
시범삼성,서현동,87,192.15,99000,8,1991,2017,4,10,2017-04-10,2017-04,1703.2224824355972
이매촌(한신),이매동,124,50.1,43300,13,1992,2017,4,15,2017-04-15,2017-04,2857.108582834331
양지마을(2단지)(청구),수내동,36,134.8,87000,8,1992,2017,4,29,2017-04-29,2017-04,2133.56528189911
시범우성,서현동,96,64.8,46500,4,1991,2017,4,25,2017-04-25,2017-04,2372.2175925925926
아름마을(삼호),이매동,133,132.72,72500,9,1992,2017,4,26,2017-04-26,2017-04,1805.8355937311633
청솔마을(계룡),금곡동,176,84.97,58300,17,1996,2017,4,29,2017-04-29,2017-04,2268.1904201482876
정든마을(5단지)(신화),정자동,192,69.93,41000,1,1995,2017,4,25,2017-04-25,2017-04,1938.192478192478
판교원마을9단지(한림풀에버),판교동,585,84.9562,73500,8,2009,2017,4,14,2017-04-14,2017-04,2860.0184565693853
시범한양,서현동,91,84.93,63000,15,1991,2017,4,17,2017-04-17,2017-04,2452.2006358177323
매화마을공무원2,야탑동,215,58.71,37000,5,1995,2017,4,10,2017-04-10,2017-04,2083.3691023675697
매화마을(주공3),야탑동,205,46.2,31000,1,1993,2017,4,29,2017-04-29,2017-04,2218.177489177489
봇들마을9단지(금호어울림),삼평동,744,101.09,106000,19,2009,2017,4,28,2017-04-28,2017-04,3466.364625581165
까치마을(2단지)(주공),구미동,88,49.36,32700,1,1995,2017,4,10,2017-04-10,2017-04,2190.0255267423013
청솔마을(성원),금곡동,143,134.67,78000,18,1994,2017,4,20,2017-04-20,2017-04,1914.6981510358655
