dong,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct
원천동,134,1407.416003685068,1633.9169030674166,24075.0,59.9306,27,2881.2197193065217,2896.232697459418,45000.0,49.95,104.71699282675209,77.25703749206623
이의동,190,2430.6018089589243,2406.638280178044,69200.0,84.645,44,4471.210278058668,4470.376468073731,142750.0,100.513,83.9548650699712,85.75190567246402
하동,30,2169.713839150154,2142.204641226374,59500.0,84.85,14,3800.7578755905192,3910.469595648753,86500.0,84.83215,75.1732328480341,82.54416596773308
