area_type,lee,moon,remaining_pct_to_moon_like,price_600m_if_moon_like,lee_annualized_pct,price_600m_current_trend,current_trend_remaining_pct
gwanggyo_dong_area_no_mixed_use,-3.289356671663346,75.86034984271926,81.8417743801642,1091050646.280985,-3.634186812171658,515586199.99837136,-14.06896666693811
gwanggyo_named_apts_no_mixed_use,-3.5904345906218937,82.27397441943238,89.06212640359226,1134372758.4215536,-3.9661750689506947,508349598.05216587,-15.275066991305685
