dong,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct
하동,89,3334.4489614866443,3662.649915826172,84900.0,84.81,75,3748.0725623582766,3911.4730679325776,90000.0,84.81,12.40455636445612,6.793528123756798
원천동,117,2680.9150981177413,2976.6810096172394,45000.0,59.9306,87,2647.8173808570286,3135.314653632813,43000.0,59.9306,-1.2345679012345623,5.329212082283941
이의동,206,4890.974088083677,4744.305936168567,135000.0,84.81,110,4254.066197427297,4595.395623738129,115500.0,84.77,-13.022107236432435,-3.138716483167947
