region,apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
수원시 영통구,늘푸른벽산,망포동,488,114.954,29350,16,2000,2017,4,12,2017-04-12,2017-04,844.0352662804253
수원시 영통구,원천레이크파크,원천동,548,49.95,20700,17,1999,2017,4,27,2017-04-27,2017-04,1369.9711711711711
수원시 영통구,벽적골롯데,영통동,971-1,49.71,21800,1,2002,2017,4,29,2017-04-29,2017-04,1449.7372762019713
수원시 영통구,광교e편한세상,이의동,1326,100.8028,74000,6,2012,2017,4,26,2017-04-26,2017-04,2426.809572749963
수원시 영통구,주공그린빌2,매탄동,1260,84.45,32000,2,2002,2017,4,25,2017-04-25,2017-04,1252.6417998815866
수원시 영통구,청명마을(주공),영통동,1048-2,59.99,27900,16,1997,2017,4,13,2017-04-13,2017-04,1537.4532422070345
수원시 영통구,래미안영통마크원2단지,신동,940,97.92,50500,10,2013,2017,4,29,2017-04-29,2017-04,1704.890727124183
수원시 영통구,현대힐스테이트,매탄동,176,75.814,34000,3,2006,2017,4,15,2017-04-15,2017-04,1482.5388450681933
수원시 영통구,삼성3,매탄동,1217-7,59.76,21600,4,1993,2017,4,18,2017-04-18,2017-04,1194.867469879518
수원시 영통구,현대,매탄동,810-1,84.94,28100,8,1989,2017,4,25,2017-04-25,2017-04,1093.6305627501768
수원시 영통구,자연앤자이2단지,이의동,1353,125.41,88000,11,2012,2017,4,14,2017-04-14,2017-04,2319.6746670919383
수원시 영통구,벽적골9단지주공,영통동,970-3,59.39,28000,8,1999,2017,4,8,2017-04-08,2017-04,1558.5519447718473
수원시 영통구,늘푸른벽산,망포동,488,84.925,26900,7,2000,2017,4,17,2017-04-17,2017-04,1047.1123932881956
수원시 영통구,영통에듀파크(321동~327동),영통동,957-6,84.96,39300,4,1997,2017,4,12,2017-04-12,2017-04,1529.1659604519778
수원시 영통구,매탄주공4,매탄동,897,51.93,31600,2,1985,2017,4,25,2017-04-25,2017-04,2011.6171769689968
수원시 영통구,동수원자이1차,망포동,686,147.5852,38300,12,2001,2017,4,29,2017-04-29,2017-04,857.8918482341049
수원시 영통구,황골마을(쌍용),영통동,1052-2,59.8,27250,16,1998,2017,4,21,2017-04-21,2017-04,1506.405518394649
수원시 영통구,매탄위브하늘채,매탄동,1352,84.7273,41000,2,2008,2017,4,29,2017-04-29,2017-04,1599.6945494545444
수원시 영통구,자연앤힐스테이트,이의동,1344,84.74,69500,14,2012,2017,4,17,2017-04-17,2017-04,2711.270946424357
수원시 영통구,신나무실극동,영통동,967-2,84.9,37900,17,1999,2017,4,8,2017-04-08,2017-04,1475.7340400471141
수원시 영통구,벽적골주공휴먼시아8단지,영통동,972-2,49.59,22300,15,1997,2017,4,17,2017-04-17,2017-04,1486.57672917927
수원시 영통구,청명마을대우,영통동,956-2,99.87,49300,4,1998,2017,4,27,2017-04-27,2017-04,1631.880845098628
수원시 영통구,황골마을주공1,영통동,955-1,59.99,23000,20,1997,2017,4,7,2017-04-07,2017-04,1267.4345724287382
수원시 영통구,신나무실쌍용,영통동,963-2,59.965,25500,17,1997,2017,4,18,2017-04-18,2017-04,1405.7850412740765
수원시 영통구,매탄레이크파크,매탄동,1230,49.95,19300,13,1999,2017,4,15,2017-04-15,2017-04,1277.316116116116
수원시 영통구,매탄레이크파크,매탄동,1230,49.95,18900,7,1999,2017,4,15,2017-04-15,2017-04,1250.8432432432433
수원시 영통구,황골마을주공1,영통동,955-1,49.76,22300,12,1997,2017,4,24,2017-04-24,2017-04,1481.4979903536978
수원시 영통구,원천레이크파크,원천동,548,49.95,20750,15,1999,2017,4,10,2017-04-10,2017-04,1373.2802802802803
수원시 영통구,청명마을동신,영통동,956-2,134.64,49000,9,1998,2017,4,29,2017-04-29,2017-04,1203.0912061794415
수원시 영통구,주공그린빌5,매탄동,1282,45.88,21000,2,2002,2017,4,7,2017-04-07,2017-04,1513.1168265039232
수원시 영통구,우남퍼스트빌,매탄동,1274,101.945,41000,8,2002,2017,4,28,2017-04-28,2017-04,1329.5188582078574
수원시 영통구,현대힐스테이트,매탄동,176,59.648,31500,13,2006,2017,4,11,2017-04-11,2017-04,1745.7869501072962
수원시 영통구,벽적골주공휴먼시아8단지,영통동,972-2,59.99,25700,17,1997,2017,4,18,2017-04-18,2017-04,1416.220370061677
수원시 영통구,황골마을주공1,영통동,955-1,59.99,25700,6,1997,2017,4,19,2017-04-19,2017-04,1416.220370061677
수원시 영통구,광교호수마을호반써밋,하동,994,84.94,57000,22,2011,2017,4,10,2017-04-10,2017-04,2218.396515187191
수원시 영통구,광교2차e편한세상,이의동,1200,84.6861,52700,1,2011,2017,4,28,2017-04-28,2017-04,2057.1930930813915
